idviv,fecharecol,lat,lon,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011205918,26/4/2018,-2844291301,-6570919197,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,4,10,No,No,4,10,8,0,Mediano,,conejos,2,,,,,
1011206371,26/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,3,0,0,0,,,,,,,,,
1011205876,26/4/2018,,,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,3,Si,Si,1,0,20,0,Grande,Mediano,bovinos,2,,,,,
1011206279,26/4/2018,-2845649648,-656974796,Evaluada,,,,0,0,0,0,,,,,,,,0,1,4,No,No,0,0,0,0,,,,,,,,,
1011206278,26/4/2018,-2845682069,-6569772444,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206277,26/4/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,1,5,No,No,0,2,0,0,,,,,,,,,
1011206281,26/4/2018,-2846360785,-6569800112,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206282,26/4/2018,-2846372712,-6569788881,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206280,26/4/2018,-2846370734,-6569778889,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206283,26/4/2018,-2846309957,-6569770826,Evaluada,,,,0,0,0,0,,,,,,,,0,1,2,No,No,2,0,0,0,,,,,,,,,
1011206100,25/4/2018,-2844930396,-6571765602,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,0,0,0,0,,,,,,,,,
1011206099,25/4/2018,-2845034399,-6571820696,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,Si,No,1,0,0,0,,,Otros animales,1,,,,,
1011206098,25/4/2018,-28450274,-6571818198,Evaluada,,,,0,0,0,0,,,,,,,,0,5,7,Si,No,1,1,0,0,,,,,,,,,
1011206225,25/4/2018,-2844885604,-6571882999,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,0,0,0,0,,,,,,,,,
1011206226,25/4/2018,-28449281,-65719062,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,2,0,0,0,,,,,,,,,
1011206236,25/4/2018,-2844882502,-6571654902,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011206238,25/4/2018,-2844845002,-6571671196,Evaluada,,1,,0,0,1,6,,,,,,,,0,0,3,No,No,5,4,0,0,,,Otros animales,1,6,0,0,6,0
1011206240,25/4/2018,-2844913004,-6571922301,Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,Si,Si,4,0,0,0,,,,,,,,,
1011206237,25/4/2018,-2844877699,-6571649504,Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,Si,No,2,1,0,0,,,,,,,,,
1011206239,25/4/2018,-2844871103,-6571883996,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,0,0,0,0,,,,,,,,,
1011206304,24/4/2018,-2844734863,-657089333,Evaluada,,,,0,0,0,0,,,,,,,,2,2,6,No,No,1,0,0,0,,,,,,,,,
1011206309,24/4/2018,-2844579362,-6570953446,Evaluada,,,,0,0,0,0,,,,,,,,0,2,8,Si,Si,13,5,0,0,,,Otros animales,1,,,,,
1011206310,24/4/2018,-2844567058,-6570952565,Evaluada,,,,0,0,0,0,,,,,,,,1,0,9,Si,Si,1,0,0,0,,,Otros animales,1,,,,,
1011206301,24/4/2018,-2844752264,-6570723446,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011206302,24/4/2018,-284472706,-6570656634,Evaluada,,1,,0,0,10,6,,,,,,,,0,0,4,Si,Si,5,0,20,0,Grande,,aves de corral,13,24,0,0,14,10
1011206303,24/4/2018,-2844751225,-6570733219,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,1,15,0,Chico,,,,,,,,
1011206308,24/4/2018,-284460538,-6570958458,Evaluada,,1,,0,0,4,10,,,,,,,,1,1,6,Si,Si,4,0,10,0,,,,,11,0,0,11,0
1011206307,24/4/2018,-2844626267,-6570958776,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,10,0,0,0,,,,,,,,,
1011206306,24/4/2018,-2844745676,-6570969447,Evaluada,,,,0,0,0,0,,,,,,,,1,0,5,No,No,2,0,0,0,,,,,,,,,
1011206305,24/4/2018,-2844770662,-6570970084,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,3,0,0,0,,,,,,,,,
1011206359,15/5/2018,-2844313161,-6571263827,Evaluada,,,,0,0,0,0,,,,,,,,2,0,4,No,No,3,0,0,0,,,,,,,,,
1011206065,15/5/2018,-2844310203,-6571301999,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,3,No,Si,2,0,0,0,,,,,,,,,
1011206360,15/5/2018,-2844253021,-657130044,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,5,0,0,0,,,,,,,,,
1011206391,15/5/2018,-2844241655,-6571293348,Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,3,0,0,0,,,,,,,,,
1011206393,15/5/2018,-2844238663,-6571292351,Evaluada,,,,0,0,0,0,,,,,,,,1,1,3,Si,Si,2,0,0,0,,,,,,,,,
1011206392,15/5/2018,-2844245922,-6571291991,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,Si,1,0,0,0,,,,,,,,,
1011205564,27/4/2018,-2845677551,-6569794673,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,1,3,9,No,No,4,2,10,0,Chico,,Otros animales,20,,,,,
1011205482,27/4/2018,-2846366594,-656980028,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,1,0,6,No,No,1,0,0,0,,,,,,,,,
1011206119,15/5/2018,-2845186799,-6571005397,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,1,3,9,Si,Si,5,3,3,0,Mediano,,,,,,,,
1011206334,15/5/2018,-2845218332,-6571036083,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,0,0,0,,,,,,,,,
1011206333,15/5/2018,-2845190604,-6571028346,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,1,0,0,0,,,,,,,,,
1011206223,24/4/2018,-2844905192,-6571512024,Evaluada,,,,0,0,0,0,,,,,,,,0,3,5,No,No,3,0,0,0,,,,,,,,,
1011206222,24/4/2018,-2844866225,-6571560882,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,1,0,0,,,,,,,,,
1011206221,24/4/2018,-2844986882,-6571711103,Evaluada,,,,0,0,0,0,,,,,,,,0,4,8,No,No,3,0,0,0,,,,,,,,,
1011206224,24/4/2018,-2844979732,-6571557052,Evaluada,,1,,0,0,1,1,,,,,,,,0,0,1,No,No,3,0,20,0,Mediano,,,,48,0,0,48,0
1011206247,24/4/2018,-2845117874,-6571779625,Evaluada,,,,0,0,0,0,,,,,,,,3,1,12,No,No,3,2,0,0,,,,,,,,,
1011206250,24/4/2018,-2844970621,-6571760732,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,3,0,0,0,,,,,,,,,
1011206249,24/4/2018,-2845013763,-6571768158,Evaluada,,,,0,0,0,0,,,,,,,,1,1,7,No,No,0,1,0,0,,,,,,,,,
1011206248,24/4/2018,-2845102075,-6571775643,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,3,0,10,0,Mediano,,,,,,,,
1011206373,2/5/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,0,0,0,0,,,,,,,,,
1011205974,2/5/2018,-2844369899,-6570689298,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,1,2,10,No,No,3,1,10,0,,,aves de corral,3,,,,,
1011206329,2/5/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,Si,0,0,0,0,,,,,,,,,
1011206326,2/5/2018,,,Evaluada y Rociada/tratada,,1,,,,,,No,No,No,Si,,,,0,2,5,Si,Si,3,1,0,0,,,equinos,2,1,0,0,1,0
1011205777,2/5/2018,-2843762303,-6570340703,Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,Si,,,,0,2,6,Si,Si,3,1,12,0,Grande,,,,43,0,0,43,0
1011206328,2/5/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,Si,Si,2,1,0,0,Mediano,,,,,,,,
1011206327,2/5/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,Si,No,2,2,0,0,,,,,,,,,
1011206163,2/5/2018,-2845749753,-6570352807,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,3,0,10,No,No,3,0,40,1,Mediano,,,,,,,,
1011206164,2/5/2018,-2845721992,-657038164,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,1,2,6,No,No,1,1,0,0,,,,,,,,,
1011206349,2/5/2018,,,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,0,0,0,0,,,,,,,,,
1011206351,2/5/2018,,,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,2,1,8,No,No,2,0,3,0,Chico,,,,,,,,
1011206350,2/5/2018,,,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,1,2,8,No,No,0,1,0,0,,,,,,,,,
1011206348,2/5/2018,-2845855733,-6570381825,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,1,No,No,5,0,0,0,,,,,,,,,
1011206332,7/5/2018,,,Evaluada y Rociada/tratada,1,,,1,4,0,0,,,,,,,,0,1,2,Si,Si,2,0,0,0,,,,,4,4,0,0,0
1011206078,7/5/2018,-2845096283,-6570306304,Evaluada y Rociada/tratada,1,,,,,,,Si,Si,No,No,,,,0,3,8,Si,Si,3,5,30,0,,,porcinos,1,3,3,0,0,0
1011206331,7/5/2018,,,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,1,No,No,1,0,0,0,,,,,,,,,
1011205905,14/5/2018,-2844260992,-657108624,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,1,4,No,No,1,0,0,0,,,,,,,,,
1011206025,14/5/2018,-2844267396,-6571064103,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,1,3,No,No,2,1,4,0,Chico,,,,,,,,
1011206356,14/5/2018,-2844258947,-6571065428,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,0,0,5,No,No,1,0,0,0,,,,,,,,,
1011206358,14/5/2018,-2844285166,-6571067431,Evaluada y Rociada/tratada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,2,0,0,0,,,,,,,,,
