"","idviv","posiTi","where","latitud","longitud","otraespecie","menores0a4","menores5a14","totalhabit","numperro","numgato","numgallinas","numcabras","otroanimal","cantotro","where.Tg","techo","pared"
"954",1011205774,0,NA,"-28.43748498","-65.70329203",NA,0,2,9,1,1,0,0,NA,NA,NA,0,0
"955",1011208228,0,NA,"-28.43590197","-65.70330704",NA,1,4,5,1,0,0,0,NA,NA,NA,0,0
"956",1011205868,1,"peri","-28.44338592","-65.70330746",NA,2,0,11,6,0,10,0,NA,NA,NA,0,1
"957",1011205850,0,NA,"-28.44494403","-65.70332003",NA,1,2,5,3,1,105,0,NA,NA,NA,0,0
"958",1011208229,0,NA,"-28.43619802","-65.70333101",NA,0,1,7,8,0,0,0,NA,NA,NA,0,0
"959",1011205953,0,NA,"-28.44003199","-65.70334299",NA,2,0,4,4,2,0,0,NA,NA,NA,1,1
"960",1011206434,0,NA,"-28.44361751","-65.70336118",NA,1,0,5,6,0,4,0,"PATOS",34,NA,0,0
"961",1011208741,0,NA,"-28.44157501","-65.70336596",NA,1,2,6,2,3,0,0,NA,NA,NA,0,0
"962",1011205776,0,NA,"-28.43780299","-65.70337099",NA,1,3,10,3,2,0,0,NA,NA,NA,0,0
"963",1011205955,0,NA,"-28.44100697","-65.70339597",NA,1,3,6,2,0,0,0,"Otros animales",1,NA,1,1
"964",1011205777,1,"peri","-28.43762303","-65.70340703",NA,0,2,6,3,1,12,0,NA,NA,NA,1,1
"965",1011205777,1,"peri","-28.43762303","-65.70340703",NA,0,2,6,3,1,6,0,NA,NA,NA,0,0
"966",1011208719,0,NA,"-28.44033097","-65.70340997",NA,0,2,4,3,0,0,0,NA,NA,NA,0,0
"967",1011205852,0,NA,"-28.43596525","-65.70344919",NA,1,1,5,5,1,0,0,"Otros animales",2,NA,1,1
"968",1011208868,0,NA,"-28.44326388","-65.70347945",NA,0,1,6,3,0,0,0,"Otros animales",1,NA,0,0
"969",1011206330,0,NA,"-28.44534209","-65.70350435",NA,0,0,2,1,0,5,0,NA,NA,NA,1,1
"970",1011206330,1,"peri","-28.44534209","-65.70350435",NA,0,0,2,1,0,6,0,NA,NA,NA,1,1
"971",1011208720,0,NA,"-28.44127703","-65.70351499",NA,0,1,4,1,10,0,0,NA,NA,NA,0,0
"972",1011206163,0,NA,"-28.45749753","-65.70352807",NA,3,0,10,3,0,40,1,NA,NA,NA,0,0
"973",1011206163,0,NA,"-28.45749753","-65.70352807",NA,1,2,10,4,0,20,1,"porcinos",1,NA,0,0
"974",1011205968,0,NA,"-28.44336103","-65.70352999",NA,0,1,4,3,0,0,0,"Otros animales",5,NA,0,0
"975",1011208829,0,NA,"-28.44284101","-65.70353502",NA,0,0,3,1,0,0,0,"Otros animales",1,NA,0,0
"976",1011208202,0,NA,"-28.43687","-65.70353502",NA,0,1,5,2,0,0,0,"Otros animales",1,NA,0,0
"977",1011208706,0,NA,"-28.44530521","-65.70354735",NA,0,1,5,1,1,0,0,NA,NA,NA,0,0
"978",1011205911,0,NA,"-28.44478796","-65.70359202",NA,0,3,8,1,0,0,0,NA,NA,NA,0,0
"979",1011206435,0,NA,"-28.44356353","-65.70359336",NA,0,0,3,2,0,7,0,NA,NA,NA,0,0
"980",1011208263,0,NA,"-28.43680898","-65.70360702",NA,1,2,5,5,0,0,0,"Otros animales",4,NA,1,1
"981",1011205922,0,NA,"-28.44526699","-65.70361398",NA,0,2,4,2,0,0,0,NA,NA,NA,0,0
"982",1011206438,1,"domiyperi","-28.44349254","-65.70361809",NA,0,0,2,1,0,0,0,NA,NA,NA,1,1
"983",1011208783,0,NA,"-28.44370678","-65.70362848",NA,0,0,2,2,0,0,0,NA,NA,NA,0,0
"984",1011205853,0,NA,"-28.43686145","-65.70363427",NA,1,0,3,4,0,0,0,NA,NA,NA,1,1
"985",1011205740,0,NA,"-28.44305391","-65.70365061",NA,0,0,2,1,0,0,0,NA,NA,NA,0,0
"986",1011205739,0,NA,"-28.44246299","-65.70369864",NA,0,3,6,4,0,0,0,NA,NA,NA,0,0
"987",1011208782,0,NA,"-28.443846","-65.70369973",NA,0,0,1,0,0,0,0,NA,NA,NA,0,0
"988",1011208828,0,NA,"-28.44278804","-65.70372102",NA,2,0,4,0,0,0,0,NA,NA,NA,0,0
"989",1011208256,0,NA,"-28.43766301","-65.70373904",NA,0,1,3,1,0,0,0,NA,NA,NA,0,0
"990",1011208310,0,NA,"-28.45825701","-65.70374901",NA,0,0,3,3,0,0,0,NA,NA,NA,0,0
"991",1011205737,0,NA,"-28.44288829","-65.70377994",NA,0,0,2,1,0,0,0,NA,NA,NA,0,0
"992",1011208334,0,NA,"-28.44837399","-65.70378296",NA,0,2,4,2,0,0,0,NA,NA,NA,0,0
"993",1011208240,0,NA,"-28.43548003","-65.70378799",NA,1,4,7,1,0,0,0,"Otros animales",6,NA,1,1
"994",1011206076,0,NA,"-28.45017317","-65.70379201",NA,1,2,7,3,1,0,0,NA,NA,NA,1,1
"995",1011205923,0,NA,"-28.44537201","-65.70379503",NA,2,2,9,3,0,0,0,NA,NA,NA,1,0
"996",1011206348,0,NA,"-28.45855733","-65.70381825",NA,0,0,1,5,0,0,0,NA,NA,NA,0,0
"997",1011206348,0,NA,"-28.45855733","-65.70381825",NA,0,0,1,5,0,0,0,NA,NA,NA,0,0
"998",1011206347,0,NA,"-28.45847175","-65.70383082",NA,0,0,2,3,1,0,0,NA,NA,NA,0,0
"999",1011208308,0,NA,"-28.44692099","-65.70383501",NA,0,0,4,5,0,0,0,NA,NA,NA,0,0
"1000",1011208247,0,NA,"-28.43735497","-65.70387801",NA,0,0,2,0,0,0,0,NA,NA,NA,1,1
"1001",1011208825,0,NA,"-28.44295199","-65.70388597",NA,1,1,4,3,0,0,0,NA,NA,NA,0,0
"1002",1011208246,0,NA,"-28.43750199","-65.70389603",NA,0,0,4,0,0,0,0,NA,NA,NA,1,1
"1003",1011205866,0,NA,"-28.44328878","-65.70390031",NA,1,0,4,3,0,0,0,NA,NA,NA,0,0
"1004",1011208730,0,NA,"-28.44190702","-65.70390299",NA,0,2,5,2,6,0,0,NA,NA,NA,1,1
"1005",1011208827,0,NA,"-28.442408","-65.70390902",NA,0,0,2,1,1,2,0,NA,NA,NA,0,0
"1006",1011206342,1,"peri","-28.45747666","-65.70393761",NA,0,0,1,1,1,10,0,NA,NA,NA,0,0
