idviv,fecharecol,lat,Columna1,LAT2,lon,Columna3,LON4,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011206507,29/8/2018,-28,46190096,"-28,461901",-65,69677804,"-65,69677804",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206585,3/9/2018,-28,45839498,"-28,458395",-65,69678399,"-65,69678399",Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,1,0,0,0,,,,,,,,,
1011205571,11/4/2018,-28,45267399,"-28,452674",-65,69678701,"-65,69678701",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,Si,3,3,0,0,,,,,,,,,
1011205781,13/4/2018,-28,45827939,"-28,458279",-65,69680595,"-65,69680595",Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,1,0,0,0,,,,,,,,,
1011205480,11/4/2018,-28,45025238,"-28,450252",-65,69680779,"-65,69680779",Evaluada,,,,0,0,0,0,,,,,,,,0,0,0,No,No,0,0,0,0,,,,,,,,,
1011206914,17/9/2018,-28,44947202,"-28,449472",-65,69680796,"-65,69680796",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206578,3/9/2018,-28,45791402,"-28,457914",-65,69681701,"-65,69681701",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206787,10/9/2018,-28,45533902,"-28,455339",-65,69682598,"-65,69682598",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011205566,11/4/2018,-28,45658348,"-28,456583",-65,69682757,"-65,69682757",Evaluada,,,,0,0,0,0,,,,,,,,1,1,5,No,No,3,1,0,0,,,Otros animales,1,,,,,
1011206595,3/9/2018,-28,459075,"-28,004591",-65,69683998,"-65,69683998",Evaluada,,,,0,0,0,0,,,,,,,,2,1,6,No,No,0,0,0,0,,,,,,,,,
1011206794,10/9/2018,-28,45479,"-28,000455",-65,69685398,"-65,69685398",Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,Si,No,2,1,0,0,,,,,,,,,
1011205543,11/4/2018,-28,46085238,"-28,460852",-65,69685968,"-65,69685968",Evaluada,,,,0,0,0,0,,,,,,,,1,0,4,Si,Si,1,1,0,0,,,,,,,,,
1011206891,12/9/2018,-28,45020703,"-28,450207",-65,69686102,"-65,69686102",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206536,31/8/2018,-28,46024402,"-28,460244",-65,69686697,"-65,69686697",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206587,3/9/2018,-28,45835801,"-28,458358",-65,69687703,"-65,69687703",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,4,1,0,0,,,,,,,,,
1011206573,31/8/2018,-28,460829,"-28,004608",-65,69687904,"-65,69687904",Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,4,0,0,0,,,Otros animales,1,,,,,
1011206849,12/9/2018,-28,44968098,"-28,449681",-65,69688097,"-65,69688097",Evaluada,,,,0,0,0,0,,,,,,,,0,1,4,No,No,1,0,0,0,,,,,,,,,
1011206946,17/9/2018,-28,45394804,"-28,453948",-65,69688499,"-65,69688499",Evaluada,,,,0,0,0,0,,,,,,,,0,1,2,Si,Si,5,0,100,0,Mediano,,Otros animales,4,,,,,
1011205625,11/4/2018,-28,46084216,"-28,460842",-65,69689488,"-65,69689488",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011206615,3/9/2018,-28,457263,"-28,004573",-65,69689798,"-65,69689798",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205572,11/4/2018,-28,45260501,"-28,452605",-65,69690502,"-65,69690502",Evaluada,,,,0,0,0,0,,,,,,,,1,2,5,No,Si,3,2,0,0,,,,,,,,,
1011206540,31/8/2018,-28,46079002,"-28,460790",-65,69693101,"-65,69693101",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206551,31/8/2018,-28,460757,"-28,004608",-65,69693302,"-65,69693302",Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205346,11/4/2018,-28,45528596,"-28,455286",-65,69693402,"-65,69693402",Evaluada,,,,0,0,0,0,,,,,,,,1,1,6,No,No,2,1,3,0,,,,,,,,,
1011205598,13/4/2018,-28,45408299,"-28,454083",-65,69694098,"-65,69694098",Evaluada,,,,0,0,0,0,,,,,,,,1,2,8,Si,No,1,0,0,0,,,,,,,,,
1011205741,13/4/2018,-28,4494545,"-28,044945",-65,69694098,"-65,69694098",Evaluada,,,,0,0,0,0,,,,,,,,0,2,8,Si,Si,2,0,0,0,,,,,,,,,
1011205467,10/4/2018,-28,45845499,"-28,458455",-65,69694903,"-65,69694903",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,,,,,,,,,,,,
1011206613,3/9/2018,-28,45708497,"-28,457085",-65,69695196,"-65,69695196",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206848,12/9/2018,-28,44954997,"-28,449550",-65,69696202,"-65,69696202",Evaluada,,,,0,0,0,0,,,,,,,,1,1,5,No,No,3,0,0,0,,,,,,,,,
1011206795,10/9/2018,-28,45478799,"-28,454788",-65,69696797,"-65,69696797",Evaluada,,,,0,0,0,0,,,,,,,,1,3,7,No,No,2,2,0,0,,,,,,,,,
1011206892,12/9/2018,-28,45012698,"-28,450127",-65,69697602,"-65,69697602",Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,No,No,6,0,0,0,,,,,,,,,
1011205597,13/4/2018,-28,45407603,"-28,454076",-65,69697702,"-65,69697702",Evaluada,,,,0,0,0,0,,,,,,,,0,3,8,No,No,3,1,0,0,,,Otros animales,4,,,,,
1011205464,10/4/2018,-28,45895598,"-28,458956",-65,69699303,"-65,69699303",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,,,,,,,,,,,,
1011206520,31/8/2018,-28,46133904,"-28,461339",-65,69699404,"-65,69699404",Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,1,0,0,0,,,,,,,,,
1011206574,31/8/2018,-28,46078801,"-28,460788",-65,69699999,"-65,69699999",Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,5,2,0,0,,,,,,,,,
1011206913,17/9/2018,-28,44941704,"-28,449417",-65,69700502,"-65,69700502",Deshabitada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206577,3/9/2018,-28,457838,"-28,004578",-65,69701198,"-65,69701198",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,1,0,0,0,,,,,,,,,
1011205548,11/4/2018,-28,46140559,"-28,461406",-65,69702019,"-65,69702019",Evaluada,,,1,4,5,27,12,,,,,,,,0,1,4,Si,Si,15,15,50,0,Grande,Grande,porcinos,3,,,,,
1011206624,3/9/2018,-28,45770598,"-28,457706",-65,69702304,"-65,69702304",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
